date,project,platform,country,ad_network,ad_placement,ad_type,revenue,impressions,ecpm
2026-05-14,项目A,ios,PH,AdMob,rewarded_daily_bonus,rewarded,43.87,6562,6.69
2026-05-14,项目A,ios,VN,UnityAds,banner_home,banner,9.57,1909,5.01
2026-05-14,项目A,ios,VN,AppLovin,interstitial_level_complete,interstitial,25.78,3939,6.54
2026-05-14,项目A,ios,VN,AdMob,rewarded_daily_bonus,rewarded,30.1,6037,4.99
2026-05-15,项目A,android,US,UnityAds,banner_home,banner,69.25,8826,7.85
2026-05-15,项目A,android,US,AppLovin,interstitial_level_complete,interstitial,150.45,21446,7.02
2026-05-15,项目A,android,US,AdMob,rewarded_daily_bonus,rewarded,185.77,35993,5.16
2026-05-15,项目A,android,BR,UnityAds,banner_home,banner,33.4,5075,6.58
2026-05-15,项目A,android,BR,AppLovin,interstitial_level_complete,interstitial,80.27,13150,6.1
2026-05-15,项目A,android,BR,AdMob,rewarded_daily_bonus,rewarded,98.0,14862,6.59
2026-05-15,项目A,android,IN,UnityAds,banner_home,banner,32.82,3034,10.82
2026-05-15,项目A,android,IN,AppLovin,interstitial_level_complete,interstitial,72.56,7061,10.28
2026-05-15,项目A,android,IN,AdMob,rewarded_daily_bonus,rewarded,85.59,12078,7.09
2026-05-15,项目A,android,PH,UnityAds,banner_home,banner,23.14,3783,6.12
2026-05-15,项目A,android,PH,AppLovin,interstitial_level_complete,interstitial,60.9,9992,6.09
2026-05-15,项目A,android,PH,AdMob,rewarded_daily_bonus,rewarded,71.12,14110,5.04
2026-05-15,项目A,android,VN,UnityAds,banner_home,banner,17.9,2563,6.98
2026-05-15,项目A,android,VN,AppLovin,interstitial_level_complete,interstitial,42.6,7189,5.93
2026-05-15,项目A,android,VN,AdMob,rewarded_daily_bonus,rewarded,78.26,9536,8.21
2026-05-15,项目A,ios,US,UnityAds,banner_home,banner,27.61,3564,7.75
2026-05-15,项目A,ios,US,AppLovin,interstitial_level_complete,interstitial,60.71,8118,7.48
2026-05-15,项目A,ios,US,AdMob,rewarded_daily_bonus,rewarded,106.76,13376,7.98
2026-05-15,项目A,ios,BR,UnityAds,banner_home,banner,19.29,2086,9.25
2026-05-15,项目A,ios,BR,AppLovin,interstitial_level_complete,interstitial,34.64,4599,7.53
2026-05-15,项目A,ios,BR,AdMob,rewarded_daily_bonus,rewarded,61.4,5731,10.71
2026-05-15,项目A,ios,IN,UnityAds,banner_home,banner,17.13,2636,6.5
2026-05-15,项目A,ios,IN,AppLovin,interstitial_level_complete,interstitial,35.94,6571,5.47
2026-05-15,项目A,ios,IN,AdMob,rewarded_daily_bonus,rewarded,46.5,7625,6.1
2026-05-15,项目A,ios,PH,UnityAds,banner_home,banner,14.16,1505,9.41
2026-05-15,项目A,ios,PH,AppLovin,interstitial_level_complete,interstitial,28.4,3604,7.88
2026-05-15,项目A,ios,PH,AdMob,rewarded_daily_bonus,rewarded,51.94,4824,10.77
2026-05-15,项目A,ios,VN,UnityAds,banner_home,banner,12.59,1954,6.44
2026-05-15,项目A,ios,VN,AppLovin,interstitial_level_complete,interstitial,22.49,4429,5.08
2026-05-15,项目A,ios,VN,AdMob,rewarded_daily_bonus,rewarded,37.94,6186,6.13
2026-05-16,项目A,android,US,UnityAds,banner_home,banner,63.77,6411,9.95
2026-05-16,项目A,android,US,AppLovin,interstitial_level_complete,interstitial,146.33,18512,7.9
2026-05-16,项目A,android,US,AdMob,rewarded_daily_bonus,rewarded,172.85,24903,6.94
2026-05-16,项目A,android,BR,UnityAds,banner_home,banner,27.25,4343,6.27
2026-05-16,项目A,android,BR,AppLovin,interstitial_level_complete,interstitial,71.51,11723,6.1
2026-05-16,项目A,android,BR,AdMob,rewarded_daily_bonus,rewarded,98.84,16239,6.09
2026-05-16,项目A,android,IN,UnityAds,banner_home,banner,27.76,4834,5.74
2026-05-16,项目A,android,IN,AppLovin,interstitial_level_complete,interstitial,62.3,10668,5.84
2026-05-16,项目A,android,IN,AdMob,rewarded_daily_bonus,rewarded,104.84,14770,7.1
2026-05-16,项目A,android,PH,UnityAds,banner_home,banner,20.93,3094,6.76
2026-05-16,项目A,android,PH,AppLovin,interstitial_level_complete,interstitial,50.33,6006,8.38
2026-05-16,项目A,android,PH,AdMob,rewarded_daily_bonus,rewarded,89.95,11068,8.13
2026-05-16,项目A,android,VN,UnityAds,banner_home,banner,19.66,3099,6.34
2026-05-16,项目A,android,VN,AppLovin,interstitial_level_complete,interstitial,49.15,7462,6.59
2026-05-16,项目A,android,VN,AdMob,rewarded_daily_bonus,rewarded,58.42,10057,5.81
2026-05-16,项目A,ios,US,UnityAds,banner_home,banner,36.21,4443,8.15
2026-05-16,项目A,ios,US,AppLovin,interstitial_level_complete,interstitial,81.23,9455,8.59
2026-05-16,项目A,ios,US,AdMob,rewarded_daily_bonus,rewarded,97.22,15718,6.19
2026-05-16,项目A,ios,BR,UnityAds,banner_home,banner,18.5,2355,7.86
2026-05-16,项目A,ios,BR,AppLovin,interstitial_level_complete,interstitial,41.87,4459,9.39
2026-05-16,项目A,ios,BR,AdMob,rewarded_daily_bonus,rewarded,49.27,7953,6.2
2026-05-16,项目A,ios,IN,UnityAds,banner_home,banner,16.45,2016,8.16
2026-05-16,项目A,ios,IN,AppLovin,interstitial_level_complete,interstitial,37.44,3835,9.76
2026-05-16,项目A,ios,IN,AdMob,rewarded_daily_bonus,rewarded,51.61,6249,8.26
2026-05-16,项目A,ios,PH,UnityAds,banner_home,banner,11.41,1828,6.24
2026-05-16,项目A,ios,PH,AppLovin,interstitial_level_complete,interstitial,30.73,4515,6.81
2026-05-16,项目A,ios,PH,AdMob,rewarded_daily_bonus,rewarded,45.32,6387,7.1
2026-05-16,项目A,ios,VN,UnityAds,banner_home,banner,11.13,1958,5.68
2026-05-16,项目A,ios,VN,AppLovin,interstitial_level_complete,interstitial,21.92,4716,4.65
2026-05-16,项目A,ios,VN,AdMob,rewarded_daily_bonus,rewarded,35.39,5083,6.96
2026-05-17,项目A,android,US,UnityAds,banner_home,banner,63.97,6407,9.98
2026-05-17,项目A,android,US,AppLovin,interstitial_level_complete,interstitial,123.73,16634,7.44
2026-05-17,项目A,android,US,AdMob,rewarded_daily_bonus,rewarded,183.74,23603,7.78
2026-05-17,项目A,android,BR,UnityAds,banner_home,banner,36.43,4119,8.84
2026-05-17,项目A,android,BR,AppLovin,interstitial_level_complete,interstitial,67.03,11240,5.96
2026-05-17,项目A,android,BR,AdMob,rewarded_daily_bonus,rewarded,111.07,13645,8.14
2026-05-17,项目A,android,IN,UnityAds,banner_home,banner,25.65,4039,6.35
2026-05-17,项目A,android,IN,AppLovin,interstitial_level_complete,interstitial,67.76,9810,6.91
2026-05-17,项目A,android,IN,AdMob,rewarded_daily_bonus,rewarded,82.91,13155,6.3
2026-05-17,项目A,android,PH,UnityAds,banner_home,banner,27.56,3020,9.13
2026-05-17,项目A,android,PH,AppLovin,interstitial_level_complete,interstitial,60.72,8374,7.25
2026-05-17,项目A,android,PH,AdMob,rewarded_daily_bonus,rewarded,71.71,10699,6.7
2026-05-17,项目A,android,VN,UnityAds,banner_home,banner,20.35,2783,7.31
2026-05-17,项目A,android,VN,AppLovin,interstitial_level_complete,interstitial,48.37,7034,6.88
2026-05-17,项目A,android,VN,AdMob,rewarded_daily_bonus,rewarded,56.83,8982,6.33
2026-05-17,项目A,ios,US,UnityAds,banner_home,banner,34.75,4108,8.46
2026-05-17,项目A,ios,US,AppLovin,interstitial_level_complete,interstitial,77.5,11295,6.86
2026-05-17,项目A,ios,US,AdMob,rewarded_daily_bonus,rewarded,103.09,13491,7.64
2026-05-17,项目A,ios,BR,UnityAds,banner_home,banner,17.26,2150,8.03
2026-05-17,项目A,ios,BR,AppLovin,interstitial_level_complete,interstitial,32.6,4844,6.73
2026-05-17,项目A,ios,BR,AdMob,rewarded_daily_bonus,rewarded,59.53,7061,8.43
2026-05-17,项目A,ios,IN,UnityAds,banner_home,banner,15.87,2136,7.43
2026-05-17,项目A,ios,IN,AppLovin,interstitial_level_complete,interstitial,32.53,5099,6.38
2026-05-17,项目A,ios,IN,AdMob,rewarded_daily_bonus,rewarded,57.35,8264,6.94
2026-05-17,项目A,ios,PH,UnityAds,banner_home,banner,15.45,2060,7.5
2026-05-17,项目A,ios,PH,AppLovin,interstitial_level_complete,interstitial,37.23,4716,7.89
2026-05-17,项目A,ios,PH,AdMob,rewarded_daily_bonus,rewarded,41.36,7402,5.59
2026-05-17,项目A,ios,VN,UnityAds,banner_home,banner,10.93,1329,8.22
2026-05-17,项目A,ios,VN,AppLovin,interstitial_level_complete,interstitial,22.18,2793,7.94
2026-05-17,项目A,ios,VN,AdMob,rewarded_daily_bonus,rewarded,33.2,3727,8.91
2026-05-18,项目A,android,US,UnityAds,banner_home,banner,58.02,7339,7.91
2026-05-18,项目A,android,US,AppLovin,interstitial_level_complete,interstitial,128.49,17794,7.22
2026-05-18,项目A,android,US,AdMob,rewarded_daily_bonus,rewarded,239.38,20837,11.49
2026-05-18,项目A,android,BR,UnityAds,banner_home,banner,38.74,4895,7.91
2026-05-18,项目A,android,BR,AppLovin,interstitial_level_complete,interstitial,83.25,11352,7.33
2026-05-18,项目A,android,BR,AdMob,rewarded_daily_bonus,rewarded,115.38,15399,7.49
2026-05-18,项目A,android,IN,UnityAds,banner_home,banner,28.59,5194,5.5
2026-05-18,项目A,android,IN,AppLovin,interstitial_level_complete,interstitial,81.61,12424,6.57
2026-05-18,项目A,android,IN,AdMob,rewarded_daily_bonus,rewarded,101.48,15873,6.39
2026-05-18,项目A,android,PH,UnityAds,banner_home,banner,28.59,2907,9.83
2026-05-18,项目A,android,PH,AppLovin,interstitial_level_complete,interstitial,61.03,6409,9.52
2026-05-18,项目A,android,PH,AdMob,rewarded_daily_bonus,rewarded,82.67,11897,6.95
2026-05-18,项目A,android,VN,UnityAds,banner_home,banner,18.44,3480,5.3
2026-05-18,项目A,android,VN,AppLovin,interstitial_level_complete,interstitial,57.44,7525,7.63
2026-05-18,项目A,android,VN,AdMob,rewarded_daily_bonus,rewarded,67.71,9780,6.92
2026-05-18,项目A,ios,US,UnityAds,banner_home,banner,37.73,3922,9.62
2026-05-18,项目A,ios,US,AppLovin,interstitial_level_complete,interstitial,72.9,10242,7.12
2026-05-18,项目A,ios,US,AdMob,rewarded_daily_bonus,rewarded,121.87,12267,9.93
2026-05-18,项目A,ios,BR,UnityAds,banner_home,banner,17.45,2502,6.97
2026-05-18,项目A,ios,BR,AppLovin,interstitial_level_complete,interstitial,36.12,5658,6.38
2026-05-18,项目A,ios,BR,AdMob,rewarded_daily_bonus,rewarded,62.92,8714,7.22
2026-05-18,项目A,ios,IN,UnityAds,banner_home,banner,17.05,2151,7.93
2026-05-18,项目A,ios,IN,AppLovin,interstitial_level_complete,interstitial,36.14,5449,6.63
2026-05-18,项目A,ios,IN,AdMob,rewarded_daily_bonus,rewarded,60.76,8322,7.3
2026-05-18,项目A,ios,PH,UnityAds,banner_home,banner,13.87,1462,9.49
2026-05-18,项目A,ios,PH,AppLovin,interstitial_level_complete,interstitial,31.07,3762,8.26
2026-05-18,项目A,ios,PH,AdMob,rewarded_daily_bonus,rewarded,53.79,5712,9.42
2026-05-18,项目A,ios,VN,UnityAds,banner_home,banner,11.98,1196,10.02
2026-05-18,项目A,ios,VN,AppLovin,interstitial_level_complete,interstitial,26.33,2670,9.86
2026-05-18,项目A,ios,VN,AdMob,rewarded_daily_bonus,rewarded,32.16,3361,9.57
2026-05-19,项目A,android,US,UnityAds,banner_home,banner,60.94,6334,9.62
2026-05-19,项目A,android,US,AppLovin,interstitial_level_complete,interstitial,146.42,17257,8.48
2026-05-19,项目A,android,US,AdMob,rewarded_daily_bonus,rewarded,212.34,25410,8.36
2026-05-19,项目A,android,BR,UnityAds,banner_home,banner,37.65,5334,7.06
2026-05-19,项目A,android,BR,AppLovin,interstitial_level_complete,interstitial,74.46,11802,6.31
2026-05-19,项目A,android,BR,AdMob,rewarded_daily_bonus,rewarded,126.12,13864,9.1
2026-05-19,项目A,android,IN,UnityAds,banner_home,banner,26.37,5044,5.23
2026-05-19,项目A,android,IN,AppLovin,interstitial_level_complete,interstitial,76.19,11067,6.88
2026-05-19,项目A,android,IN,AdMob,rewarded_daily_bonus,rewarded,104.27,17499,5.96
2026-05-19,项目A,android,PH,UnityAds,banner_home,banner,30.12,4376,6.88
2026-05-19,项目A,android,PH,AppLovin,interstitial_level_complete,interstitial,63.27,9197,6.88
2026-05-19,项目A,android,PH,AdMob,rewarded_daily_bonus,rewarded,91.4,15424,5.93
2026-05-19,项目A,android,VN,UnityAds,banner_home,banner,17.97,3097,5.8
2026-05-19,项目A,android,VN,AppLovin,interstitial_level_complete,interstitial,43.09,7323,5.88
2026-05-19,项目A,android,VN,AdMob,rewarded_daily_bonus,rewarded,74.89,8375,8.94
2026-05-19,项目A,ios,US,UnityAds,banner_home,banner,30.8,4759,6.47
2026-05-19,项目A,ios,US,AppLovin,interstitial_level_complete,interstitial,66.32,10970,6.05
2026-05-19,项目A,ios,US,AdMob,rewarded_daily_bonus,rewarded,113.43,12698,8.93
2026-05-19,项目A,ios,BR,UnityAds,banner_home,banner,18.02,2403,7.5
2026-05-19,项目A,ios,BR,AppLovin,interstitial_level_complete,interstitial,46.55,6225,7.48
2026-05-19,项目A,ios,BR,AdMob,rewarded_daily_bonus,rewarded,70.7,9608,7.36
2026-05-19,项目A,ios,IN,UnityAds,banner_home,banner,15.88,2017,7.87
2026-05-19,项目A,ios,IN,AppLovin,interstitial_level_complete,interstitial,36.09,5435,6.64
2026-05-19,项目A,ios,IN,AdMob,rewarded_daily_bonus,rewarded,60.06,7699,7.8
2026-05-19,项目A,ios,PH,UnityAds,banner_home,banner,13.23,1688,7.84
2026-05-19,项目A,ios,PH,AppLovin,interstitial_level_complete,interstitial,36.73,4147,8.86
2026-05-19,项目A,ios,PH,AdMob,rewarded_daily_bonus,rewarded,51.55,5850,8.81
2026-05-19,项目A,ios,VN,UnityAds,banner_home,banner,12.69,1792,7.08
2026-05-19,项目A,ios,VN,AppLovin,interstitial_level_complete,interstitial,25.1,3393,7.4
2026-05-19,项目A,ios,VN,AdMob,rewarded_daily_bonus,rewarded,44.54,5968,7.46
2026-05-20,项目A,android,US,UnityAds,banner_home,banner,58.68,11581,5.07
2026-05-20,项目A,android,US,AppLovin,interstitial_level_complete,interstitial,171.41,22602,7.58
2026-05-20,项目A,android,US,AdMob,rewarded_daily_bonus,rewarded,203.65,38655,5.27
2026-05-20,项目A,android,BR,UnityAds,banner_home,banner,41.5,4352,9.54
2026-05-20,项目A,android,BR,AppLovin,interstitial_level_complete,interstitial,84.95,8783,9.67
2026-05-20,项目A,android,BR,AdMob,rewarded_daily_bonus,rewarded,127.71,13559,9.42
2026-05-20,项目A,android,IN,UnityAds,banner_home,banner,31.09,4761,6.53
2026-05-20,项目A,android,IN,AppLovin,interstitial_level_complete,interstitial,84.7,10268,8.25
2026-05-20,项目A,android,IN,AdMob,rewarded_daily_bonus,rewarded,100.73,18632,5.41
2026-05-20,项目A,android,PH,UnityAds,banner_home,banner,22.18,3539,6.27
2026-05-20,项目A,android,PH,AppLovin,interstitial_level_complete,interstitial,56.78,8417,6.75
2026-05-20,项目A,android,PH,AdMob,rewarded_daily_bonus,rewarded,90.1,9289,9.7
2026-05-20,项目A,android,VN,UnityAds,banner_home,banner,25.05,2989,8.38
2026-05-20,项目A,android,VN,AppLovin,interstitial_level_complete,interstitial,46.16,6838,6.75
2026-05-20,项目A,android,VN,AdMob,rewarded_daily_bonus,rewarded,76.28,7677,9.94
2026-05-20,项目A,ios,US,UnityAds,banner_home,banner,32.7,5941,5.5
2026-05-20,项目A,ios,US,AppLovin,interstitial_level_complete,interstitial,75.75,11743,6.45
2026-05-20,项目A,ios,US,AdMob,rewarded_daily_bonus,rewarded,123.89,19453,6.37
2026-05-20,项目A,ios,BR,UnityAds,banner_home,banner,18.7,1795,10.42
2026-05-20,项目A,ios,BR,AppLovin,interstitial_level_complete,interstitial,36.89,3909,9.44
2026-05-20,项目A,ios,BR,AdMob,rewarded_daily_bonus,rewarded,67.69,7137,9.48
2026-05-20,项目A,ios,IN,UnityAds,banner_home,banner,17.4,2566,6.78
2026-05-20,项目A,ios,IN,AppLovin,interstitial_level_complete,interstitial,39.04,5938,6.57
2026-05-20,项目A,ios,IN,AdMob,rewarded_daily_bonus,rewarded,58.59,9703,6.04
2026-05-20,项目A,ios,PH,UnityAds,banner_home,banner,14.31,1950,7.34
2026-05-20,项目A,ios,PH,AppLovin,interstitial_level_complete,interstitial,32.03,5850,5.48
2026-05-20,项目A,ios,PH,AdMob,rewarded_daily_bonus,rewarded,48.18,7435,6.48
2026-05-20,项目A,ios,VN,UnityAds,banner_home,banner,10.23,1880,5.44
2026-05-20,项目A,ios,VN,AppLovin,interstitial_level_complete,interstitial,23.18,3892,5.96
2026-05-20,项目A,ios,VN,AdMob,rewarded_daily_bonus,rewarded,41.61,5556,7.49
2026-05-21,项目A,android,US,UnityAds,banner_home,banner,73.1,10316,7.09
2026-05-21,项目A,android,US,AppLovin,interstitial_level_complete,interstitial,135.21,19175,7.05
2026-05-21,项目A,android,US,AdMob,rewarded_daily_bonus,rewarded,223.91,31639,7.08
2026-05-21,项目A,android,BR,UnityAds,banner_home,banner,36.01,4124,8.73
2026-05-21,项目A,android,BR,AppLovin,interstitial_level_complete,interstitial,96.9,9968,9.72
2026-05-21,项目A,android,BR,AdMob,rewarded_daily_bonus,rewarded,127.43,14714,8.66
2026-05-21,项目A,android,IN,UnityAds,banner_home,banner,34.02,4082,8.33
2026-05-21,项目A,android,IN,AppLovin,interstitial_level_complete,interstitial,73.03,11184,6.53
2026-05-21,项目A,android,IN,AdMob,rewarded_daily_bonus,rewarded,107.66,14161,7.6
2026-05-21,项目A,android,PH,UnityAds,banner_home,banner,24.3,4070,5.97
2026-05-21,项目A,android,PH,AppLovin,interstitial_level_complete,interstitial,65.33,11976,5.46
2026-05-21,项目A,android,PH,AdMob,rewarded_daily_bonus,rewarded,85.44,13925,6.14
2026-05-21,项目A,android,VN,UnityAds,banner_home,banner,24.06,2918,8.25
2026-05-21,项目A,android,VN,AppLovin,interstitial_level_complete,interstitial,53.3,5581,9.55
2026-05-21,项目A,android,VN,AdMob,rewarded_daily_bonus,rewarded,63.89,9250,6.91
2026-05-21,项目A,ios,US,UnityAds,banner_home,banner,37.77,5771,6.54
2026-05-21,项目A,ios,US,AppLovin,interstitial_level_complete,interstitial,74.06,13788,5.37
2026-05-21,项目A,ios,US,AdMob,rewarded_daily_bonus,rewarded,116.7,17003,6.86
2026-05-21,项目A,ios,BR,UnityAds,banner_home,banner,19.87,2985,6.66
2026-05-21,项目A,ios,BR,AppLovin,interstitial_level_complete,interstitial,47.96,6261,7.66
2026-05-21,项目A,ios,BR,AdMob,rewarded_daily_bonus,rewarded,70.69,8090,8.74
2026-05-21,项目A,ios,IN,UnityAds,banner_home,banner,15.47,2883,5.37
2026-05-21,项目A,ios,IN,AppLovin,interstitial_level_complete,interstitial,37.85,7191,5.26
2026-05-21,项目A,ios,IN,AdMob,rewarded_daily_bonus,rewarded,58.39,9327,6.26
2026-05-21,项目A,ios,PH,UnityAds,banner_home,banner,14.91,1520,9.81
2026-05-21,项目A,ios,PH,AppLovin,interstitial_level_complete,interstitial,30.93,4275,7.24
2026-05-21,项目A,ios,PH,AdMob,rewarded_daily_bonus,rewarded,49.0,4907,9.99
2026-05-21,项目A,ios,VN,UnityAds,banner_home,banner,10.45,2007,5.21
2026-05-21,项目A,ios,VN,AppLovin,interstitial_level_complete,interstitial,26.66,4504,5.92
2026-05-21,项目A,ios,VN,AdMob,rewarded_daily_bonus,rewarded,38.3,5664,6.76
2026-05-22,项目A,android,US,UnityAds,banner_home,banner,60.73,5788,10.49
2026-05-22,项目A,android,US,AppLovin,interstitial_level_complete,interstitial,176.59,13200,13.38
2026-05-22,项目A,android,US,AdMob,rewarded_daily_bonus,rewarded,229.52,24593,9.33
2026-05-22,项目A,android,BR,UnityAds,banner_home,banner,41.54,3805,10.92
2026-05-22,项目A,android,BR,AppLovin,interstitial_level_complete,interstitial,94.91,9452,10.04
2026-05-22,项目A,android,BR,AdMob,rewarded_daily_bonus,rewarded,112.23,11265,9.96
2026-05-22,项目A,android,IN,UnityAds,banner_home,banner,36.83,5747,6.41
2026-05-22,项目A,android,IN,AppLovin,interstitial_level_complete,interstitial,85.78,13919,6.16
2026-05-22,项目A,android,IN,AdMob,rewarded_daily_bonus,rewarded,120.18,16299,7.37
2026-05-22,项目A,android,PH,UnityAds,banner_home,banner,28.49,4297,6.63
2026-05-22,项目A,android,PH,AppLovin,interstitial_level_complete,interstitial,70.52,8416,8.38
2026-05-22,项目A,android,PH,AdMob,rewarded_daily_bonus,rewarded,78.79,14544,5.42
2026-05-22,项目A,android,VN,UnityAds,banner_home,banner,22.12,2623,8.43
2026-05-22,项目A,android,VN,AppLovin,interstitial_level_complete,interstitial,63.99,6637,9.64
2026-05-22,项目A,android,VN,AdMob,rewarded_daily_bonus,rewarded,73.7,10212,7.22
2026-05-22,项目A,ios,US,UnityAds,banner_home,banner,34.63,3600,9.62
2026-05-22,项目A,ios,US,AppLovin,interstitial_level_complete,interstitial,77.68,8260,9.4
2026-05-22,项目A,ios,US,AdMob,rewarded_daily_bonus,rewarded,138.7,11813,11.74
2026-05-22,项目A,ios,BR,UnityAds,banner_home,banner,19.78,2823,7.01
2026-05-22,项目A,ios,BR,AppLovin,interstitial_level_complete,interstitial,42.27,7416,5.7
2026-05-22,项目A,ios,BR,AdMob,rewarded_daily_bonus,rewarded,70.52,10262,6.87
2026-05-22,项目A,ios,IN,UnityAds,banner_home,banner,18.06,2778,6.5
2026-05-22,项目A,ios,IN,AppLovin,interstitial_level_complete,interstitial,38.95,7152,5.45
2026-05-22,项目A,ios,IN,AdMob,rewarded_daily_bonus,rewarded,63.81,8290,7.7
2026-05-22,项目A,ios,PH,UnityAds,banner_home,banner,15.91,1809,8.79
2026-05-22,项目A,ios,PH,AppLovin,interstitial_level_complete,interstitial,34.65,4250,8.15
2026-05-22,项目A,ios,PH,AdMob,rewarded_daily_bonus,rewarded,57.02,4552,12.53
2026-05-22,项目A,ios,VN,UnityAds,banner_home,banner,12.83,1393,9.21
2026-05-22,项目A,ios,VN,AppLovin,interstitial_level_complete,interstitial,24.91,2626,9.49
2026-05-22,项目A,ios,VN,AdMob,rewarded_daily_bonus,rewarded,45.6,4516,10.1
2026-05-23,项目A,android,US,UnityAds,banner_home,banner,65.43,10302,6.35
2026-05-23,项目A,android,US,AppLovin,interstitial_level_complete,interstitial,161.3,18655,8.65
2026-05-23,项目A,android,US,AdMob,rewarded_daily_bonus,rewarded,196.78,33446,5.88
2026-05-23,项目A,android,BR,UnityAds,banner_home,banner,38.92,4082,9.53
2026-05-23,项目A,android,BR,AppLovin,interstitial_level_complete,interstitial,87.77,8975,9.78
2026-05-23,项目A,android,BR,AdMob,rewarded_daily_bonus,rewarded,99.15,11500,8.62
2026-05-23,项目A,android,IN,UnityAds,banner_home,banner,26.4,2717,9.72
2026-05-23,项目A,android,IN,AppLovin,interstitial_level_complete,interstitial,62.25,7518,8.28
2026-05-23,项目A,android,IN,AdMob,rewarded_daily_bonus,rewarded,117.52,9079,12.94
2026-05-23,项目A,android,PH,UnityAds,banner_home,banner,26.95,3022,8.92
2026-05-23,项目A,android,PH,AppLovin,interstitial_level_complete,interstitial,68.02,6014,11.31
2026-05-23,项目A,android,PH,AdMob,rewarded_daily_bonus,rewarded,85.76,10626,8.07
2026-05-23,项目A,android,VN,UnityAds,banner_home,banner,23.67,3467,6.83
2026-05-23,项目A,android,VN,AppLovin,interstitial_level_complete,interstitial,47.03,7983,5.89
2026-05-23,项目A,android,VN,AdMob,rewarded_daily_bonus,rewarded,67.74,8689,7.8
2026-05-23,项目A,ios,US,UnityAds,banner_home,banner,32.15,3276,9.81
2026-05-23,项目A,ios,US,AppLovin,interstitial_level_complete,interstitial,79.79,8597,9.28
2026-05-23,项目A,ios,US,AdMob,rewarded_daily_bonus,rewarded,100.41,13510,7.43
2026-05-23,项目A,ios,BR,UnityAds,banner_home,banner,17.05,2083,8.19
2026-05-23,项目A,ios,BR,AppLovin,interstitial_level_complete,interstitial,46.35,5591,8.29
2026-05-23,项目A,ios,BR,AdMob,rewarded_daily_bonus,rewarded,58.41,7387,7.91
2026-05-23,项目A,ios,IN,UnityAds,banner_home,banner,18.93,1552,12.2
2026-05-23,项目A,ios,IN,AppLovin,interstitial_level_complete,interstitial,33.95,3937,8.62
2026-05-23,项目A,ios,IN,AdMob,rewarded_daily_bonus,rewarded,56.99,6020,9.47
2026-05-23,项目A,ios,PH,UnityAds,banner_home,banner,15.93,1393,11.44
2026-05-23,项目A,ios,PH,AppLovin,interstitial_level_complete,interstitial,35.52,3251,10.93
2026-05-23,项目A,ios,PH,AdMob,rewarded_daily_bonus,rewarded,46.19,6156,7.5
2026-05-23,项目A,ios,VN,UnityAds,banner_home,banner,9.95,1097,9.07
2026-05-23,项目A,ios,VN,AppLovin,interstitial_level_complete,interstitial,23.72,3006,7.89
2026-05-23,项目A,ios,VN,AdMob,rewarded_daily_bonus,rewarded,40.86,4074,10.03
