date,project,country,platform,dau,new_users,revenue,ad_revenue,arpdau,ecpm,impressions,impressions_per_dau
2026-05-19,项目A,IN,ios,3600,600,354.14,158.65,0.0984,11.03,14381,3.99
2026-05-19,项目A,PH,android,5643,854,371.45,176.61,0.0658,6.22,28380,5.03
2026-05-19,项目A,PH,ios,2760,463,262.11,100.86,0.095,8.14,12396,4.49
2026-05-19,项目A,VN,android,3946,648,302.84,115.39,0.0767,9.19,12560,3.18
2026-05-19,项目A,VN,ios,2616,458,167.43,75.79,0.064,6.05,12524,4.79
2026-05-20,项目A,US,android,13528,1738,1019.77,464.32,0.0754,9.09,51082,3.78
2026-05-20,项目A,US,ios,6317,639,576.32,254.62,0.0912,9.62,26460,4.19
2026-05-20,项目A,BR,android,6861,822,566.87,237.15,0.0826,7.93,29887,4.36
2026-05-20,项目A,BR,ios,3853,441,369.25,132.81,0.0958,10.97,12111,3.14
2026-05-20,项目A,IN,android,6653,919,653.9,313.85,0.0983,11.07,28342,4.26
2026-05-20,项目A,IN,ios,3823,442,344.32,128.28,0.0901,7.93,16176,4.23
2026-05-20,项目A,PH,android,5388,855,490.24,229.18,0.091,12.56,18240,3.39
2026-05-20,项目A,PH,ios,2943,482,250.15,95.82,0.085,10.34,9267,3.15
2026-05-20,项目A,VN,android,5002,723,408.07,187.52,0.0816,8.32,22550,4.51
2026-05-20,项目A,VN,ios,2242,260,221.79,102.71,0.0989,9.94,10333,4.61
2026-05-21,项目A,US,android,13374,1720,1094.48,388.38,0.0818,6.55,59284,4.43
2026-05-21,项目A,US,ios,6761,854,622.04,226.25,0.092,6.67,33937,5.02
2026-05-21,项目A,BR,android,7480,1328,527.25,217.63,0.0705,6.06,35891,4.8
2026-05-21,项目A,BR,ios,3780,580,322.22,131.44,0.0852,11.5,11433,3.02
2026-05-21,项目A,IN,android,6871,1203,633.15,227.31,0.0921,8.41,27027,3.93
2026-05-21,项目A,IN,ios,3529,510,300.43,125.16,0.0851,11.09,11283,3.2
2026-05-21,项目A,PH,android,6004,816,437.25,157.3,0.0728,6.38,24648,4.11
2026-05-21,项目A,PH,ios,3078,443,254.87,122.18,0.0828,7.61,16055,5.22
2026-05-21,项目A,VN,android,4135,419,362.6,146.56,0.0877,9.01,16259,3.93
2026-05-21,项目A,VN,ios,2570,304,177.08,79.18,0.0689,9.71,8158,3.17
2026-05-22,项目A,US,android,13532,1456,1051.04,429.9,0.0777,8.09,53158,3.93
2026-05-22,项目A,US,ios,6420,1135,523.02,237.84,0.0815,8.16,29149,4.54
2026-05-22,项目A,BR,android,8218,1247,678.29,298.43,0.0825,9.88,30220,3.68
2026-05-22,项目A,BR,ios,3695,537,301.98,113.59,0.0817,5.66,20077,5.43
2026-05-22,项目A,IN,android,5990,625,622.61,278.49,0.1039,10.92,25508,4.26
2026-05-22,项目A,IN,ios,4111,637,320.01,141.02,0.0778,8.03,17556,4.27
2026-05-22,项目A,PH,android,5479,717,401.34,141.73,0.0733,5.73,24727,4.51
2026-05-22,项目A,PH,ios,3267,563,253.46,97.8,0.0776,7.92,12344,3.78
2026-05-22,项目A,VN,android,4327,577,364.92,139.62,0.0843,10.58,13202,3.05
2026-05-22,项目A,VN,ios,2477,328,183.04,86.33,0.0739,7.01,12312,4.97
2026-05-23,项目A,US,android,11703,1899,813.29,316.76,0.0695,5.53,57332,4.9
2026-05-23,项目A,US,ios,7300,1268,618.4,254.58,0.0847,6.81,37377,5.12
2026-05-23,项目A,BR,android,7178,1254,527.57,241.38,0.0735,10.4,23207,3.23
2026-05-23,项目A,BR,ios,3559,582,328.23,138.15,0.0922,8.59,16074,4.52
2026-05-23,项目A,IN,android,6051,1008,422.49,153.95,0.0698,7.81,19702,3.26
2026-05-23,项目A,IN,ios,3115,426,244.76,96.4,0.0786,10.11,9539,3.06
2026-05-23,项目A,PH,android,4814,666,429.72,165.42,0.0893,9.93,16658,3.46
2026-05-23,项目A,PH,ios,2911,448,237.59,113.08,0.0816,9.15,12360,4.25
2026-05-23,项目A,VN,android,4242,750,387.45,159.22,0.0913,11.76,13537,3.19
2026-05-23,项目A,VN,ios,2349,244,177.55,74.31,0.0756,8.69,8552,3.64
2026-05-24,项目A,US,android,13214,2113,949.14,405.39,0.0718,7.61,53247,4.03
2026-05-24,项目A,US,ios,6037,906,580.58,230.17,0.0962,11.79,19527,3.23
2026-05-24,项目A,BR,android,6230,1027,635.02,238.35,0.1019,9.31,25612,4.11
2026-05-24,项目A,BR,ios,3410,505,332.98,124.57,0.0976,7.96,15643,4.59
2026-05-24,项目A,IN,android,6379,996,587.73,239.97,0.0921,7.65,31361,4.92
2026-05-24,项目A,IN,ios,3609,567,343.24,121.46,0.0951,7.08,17162,4.76
2026-05-24,项目A,PH,android,4959,826,534.07,246.71,0.1077,11.69,21097,4.25
2026-05-24,项目A,PH,ios,2569,430,281.56,109.05,0.1096,11.38,9579,3.73
2026-05-24,项目A,VN,android,3881,393,394.89,178.42,0.1017,11.23,15883,4.09
2026-05-24,项目A,VN,ios,1976,328,199.85,91.63,0.1011,9.32,9831,4.98
2026-05-25,项目A,US,android,13425,2155,1020.26,390.01,0.076,8.1,48169,3.59
2026-05-25,项目A,US,ios,7046,1180,591.75,282.81,0.084,8.23,34381,4.88
2026-05-25,项目A,BR,android,7395,1279,616.53,244.94,0.0834,6.07,40321,5.45
2026-05-25,项目A,BR,ios,3852,691,423.47,169.22,0.1099,9.83,17222,4.47
2026-05-25,项目A,IN,android,6957,1018,550.45,203.03,0.0791,5.66,35854,5.15
2026-05-25,项目A,IN,ios,3814,642,344.99,128.95,0.0905,9.97,12932,3.39
2026-05-25,项目A,PH,android,6462,995,517.39,214.46,0.0801,9.9,21672,3.35
2026-05-25,项目A,PH,ios,3171,511,274.08,115.43,0.0864,7.26,15898,5.01
2026-05-25,项目A,VN,android,4450,767,379.9,147.34,0.0854,10.32,14280,3.21
2026-05-25,项目A,VN,ios,2424,407,212.24,85.16,0.0876,8.04,10586,4.37
2026-05-26,项目A,US,android,11872,1457,1090.31,473.39,0.0918,8.9,53203,4.48
2026-05-26,项目A,US,ios,7176,906,734.12,326.13,0.1023,8.88,36710,5.12
2026-05-26,项目A,BR,android,7564,1292,702.53,282.79,0.0929,6.84,41362,5.47
2026-05-26,项目A,BR,ios,3995,493,368.41,157.51,0.0922,7.44,21166,5.3
2026-05-26,项目A,IN,android,6824,765,519.87,200.19,0.0762,7.56,26483,3.88
2026-05-26,项目A,IN,ios,3462,525,326.67,119.56,0.0944,8.5,14072,4.06
2026-05-26,项目A,PH,android,5330,754,608.39,252.07,0.1141,9.43,26732,5.02
2026-05-26,项目A,PH,ios,3273,577,249.44,106.2,0.0762,10.15,10465,3.2
2026-05-26,项目A,VN,android,4212,720,396.02,186.6,0.094,11.48,16258,3.86
2026-05-26,项目A,VN,ios,2575,454,183.43,72.42,0.0712,7.52,9633,3.74
2026-05-27,项目A,US,android,12697,1967,1299.05,510.22,0.1023,7.6,67131,5.29
2026-05-27,项目A,US,ios,7725,1241,669.53,301.67,0.0867,8.83,34178,4.42
2026-05-27,项目A,BR,android,7368,1009,546.51,203.37,0.0742,5.13,39637,5.38
2026-05-27,项目A,BR,ios,3963,539,342.57,139.65,0.0864,8.02,17411,4.39
2026-05-27,项目A,IN,android,6292,676,632.27,233.05,0.1005,8.75,26625,4.23
2026-05-27,项目A,IN,ios,3547,624,344.87,153.28,0.0972,12.05,12717,3.59
2026-05-27,项目A,PH,android,6380,986,535.56,220.5,0.0839,9.2,23973,3.76
2026-05-27,项目A,PH,ios,3466,539,255.53,100.76,0.0737,6.92,14563,4.2
2026-05-27,项目A,VN,android,4454,657,451.39,180.15,0.1013,10.99,16397,3.68
2026-05-27,项目A,VN,ios,2383,323,225.89,94.37,0.0948,7.55,12499,5.25
